week,Hour,TPS,,
4,107,3705.895385,8.658634077,9
4,108,4040.96,9.441495327,10
4,109,4318.498462,10.08994968,11
4,110,4541.538462,10.61107117,11
4,111,4715.126154,11.01664989,12
4,112,4836.233846,11.29961179,12
4,113,4902.843077,11.45524083,12
4,114,4899.815385,11.44816679,12
4,115,4805.956923,11.22887132,12
4,116,4585.944615,10.71482387,11
4,117,4189.316923,9.788123652,10
4,118,3550.473846,8.29549964,9
4,119,2582.621538,6.034162472,7
4,120,1493.661538,3.489863407,4
4,121,689.3046154,1.610524802,2
4,122,303.7784615,0.709762761,1
4,123,226.0676923,0.528195543,1
4,124,361.3046154,0.844169662,1
4,125,636.8246154,1.48790798,2
4,126,992.0738462,2.317929547,3
4,127,1382.646154,3.230481668,4
4,128,1775.236923,4.14774982,5
4,129,2147.643077,5.017857657,6
4,130,2484.726154,5.805434939,6
4,131,2779.421538,6.493975556,7
4,132,3030.72,7.081121495,8
4,133,3238.621538,7.566872752,8
4,134,3406.153846,7.958303379,8
4,135,3536.344615,8.262487418,9
4,136,3627.175385,8.474708843,9
4,137,3676.627692,8.590251617,9
4,138,3674.609231,8.585535586,9
4,139,3603.963077,8.420474479,9
4,140,3439.458462,8.036117902,9
4,141,3142.744615,7.34286125,8
4,142,2663.36,6.222803738,7
4,143,1936.713846,4.52503235,5
4,144,1593.575385,3.723306974,4
4,145,735.7292308,1.71899353,2
4,146,323.9630769,0.756923077,1
4,147,240.1969231,0.561207764,1
4,148,385.5261538,0.900762042,1
4,149,679.2123077,1.586944644,2
4,150,1058.683077,2.473558591,3
4,151,1475.495385,3.447419124,4
4,152,1894.326154,4.425995687,5
4,153,2290.953846,5.352695902,6
4,154,2650.24,6.192149533,7
4,155,2965.12,6.927850467,7
4,156,3232.566154,7.552724659,8
4,157,3454.596923,8.071488138,9
4,158,3633.230769,8.488856937,9
4,159,3771.495385,8.811905105,9
4,160,3869.390769,9.040632638,10
4,161,3921.870769,9.16324946,10
4,162,3919.852308,9.15853343,10
4,163,3845.169231,8.984040259,9
4,164,3700.849231,8.646843998,9
4,165,3474.781538,8.118648453,9
4,166,3052.923077,7.132997843,8
4,167,2432.246154,5.682818117,6
5,0,2027.123077,4.736268871,5
5,1,1239.134615,2.895174334,3
5,2,450.1346154,1.051716391,2
5,3,333.8076923,0.779924515,1
5,4,535.1038462,1.250242631,2
5,5,941.7423077,2.200332495,3
5,6,1467.742308,3.429304458,4
5,7,2045.330769,4.778810208,5
5,8,2625.953846,6.135406182,7
5,9,3175.219231,7.418736521,8
